period,apps,day,hour,activity_time,statistic,category
2020.1,iTaxi,Mondays-Thursdays,night (18-8),1.96027777777778,Average,Transportation
2020.2,iTaxi,Mondays-Thursdays,night (18-8),1.96388888888889,Average,Transportation
2019.2,Glover,Mondays-Thursdays,night (18-8),3.87666666666667,Average,Delivery
2020.1,Glover,Mondays-Thursdays,night (18-8),4.06222222222222,Average,Delivery
2020.2,Glover,Mondays-Thursdays,night (18-8),4.04805555555556,Average,Delivery
2018.1,Takeaway,Mondays-Thursdays,night (18-8),2.12916666666667,Average,Delivery
2018.2,Takeaway,Mondays-Thursdays,night (18-8),2.08277777777778,Average,Delivery
2019.1,Takeaway,Mondays-Thursdays,night (18-8),2.12916666666667,Average,Delivery
2019.2,Takeaway,Mondays-Thursdays,night (18-8),2.10138888888889,Average,Delivery
2020.1,Takeaway,Mondays-Thursdays,night (18-8),2.23111111111111,Average,Delivery
2020.2,Takeaway,Mondays-Thursdays,night (18-8),2.13555555555556,Average,Delivery
2020.1,Bolt Courier,Mondays-Thursdays,night (18-8),2.60166666666667,Average,Delivery
2020.2,Bolt Courier,Mondays-Thursdays,night (18-8),2.45333333333333,Average,Delivery
2018.1,Wolt,Mondays-Thursdays,night (18-8),2.75166666666667,Average,Delivery
2018.2,Wolt,Mondays-Thursdays,night (18-8),2.61888888888889,Average,Delivery
2019.1,Wolt,Mondays-Thursdays,night (18-8),2.78583333333333,Average,Delivery
2019.2,Wolt,Mondays-Thursdays,night (18-8),2.6525,Average,Delivery
2020.1,Wolt,Mondays-Thursdays,night (18-8),2.85166666666667,Average,Delivery
2020.2,Wolt,Mondays-Thursdays,night (18-8),2.68361111111111,Average,Delivery
2018.1,Uber,Fridays-Sundays,day (8-18),2.85638888888889,Average,Transportation
2018.2,Uber,Fridays-Sundays,day (8-18),2.98972222222222,Average,Transportation
2019.1,Uber,Fridays-Sundays,day (8-18),3.08833333333333,Average,Transportation
2019.2,Uber,Fridays-Sundays,day (8-18),3.10388888888889,Average,Transportation
2020.1,Uber,Fridays-Sundays,day (8-18),3.10277777777778,Average,Transportation
2020.2,Uber,Fridays-Sundays,day (8-18),3.25138888888889,Average,Transportation
2018.1,Bolt Driver,Fridays-Sundays,day (8-18),3.08638888888889,Average,Transportation
2018.2,Bolt Driver,Fridays-Sundays,day (8-18),3.17083333333333,Average,Transportation
2019.1,Bolt Driver,Fridays-Sundays,day (8-18),3.18777777777778,Average,Transportation
2019.2,Bolt Driver,Fridays-Sundays,day (8-18),3.33944444444444,Average,Transportation
2020.1,Bolt Driver,Fridays-Sundays,day (8-18),3.34,Average,Transportation
2020.2,Bolt Driver,Fridays-Sundays,day (8-18),3.37583333333333,Average,Transportation
2018.1,FREE NOW,Fridays-Sundays,day (8-18),2.10305555555556,Average,Transportation
2018.2,FREE NOW,Fridays-Sundays,day (8-18),2.32333333333333,Average,Transportation
2019.1,FREE NOW,Fridays-Sundays,day (8-18),2.36277777777778,Average,Transportation
2019.2,FREE NOW,Fridays-Sundays,day (8-18),2.42972222222222,Average,Transportation
2020.1,FREE NOW,Fridays-Sundays,day (8-18),2.60166666666667,Average,Transportation
2020.2,FREE NOW,Fridays-Sundays,day (8-18),2.73361111111111,Average,Transportation
2018.1,iTaxi,Fridays-Sundays,day (8-18),1.21333333333333,Average,Transportation
2018.2,iTaxi,Fridays-Sundays,day (8-18),1.36527777777778,Average,Transportation
2019.1,iTaxi,Fridays-Sundays,day (8-18),1.55138888888889,Average,Transportation
2019.2,iTaxi,Fridays-Sundays,day (8-18),1.9125,Average,Transportation
2020.1,iTaxi,Fridays-Sundays,day (8-18),2.14194444444444,Average,Transportation
2020.2,iTaxi,Fridays-Sundays,day (8-18),2.27,Average,Transportation
2019.2,Glover,Fridays-Sundays,day (8-18),2.08972222222222,Average,Delivery
2020.1,Glover,Fridays-Sundays,day (8-18),2.25388888888889,Average,Delivery
2020.2,Glover,Fridays-Sundays,day (8-18),2.30166666666667,Average,Delivery
2018.1,Takeaway,Fridays-Sundays,day (8-18),1.27083333333333,Average,Delivery
2018.2,Takeaway,Fridays-Sundays,day (8-18),1.40388888888889,Average,Delivery
2019.1,Takeaway,Fridays-Sundays,day (8-18),1.27166666666667,Average,Delivery
2019.2,Takeaway,Fridays-Sundays,day (8-18),1.48944444444444,Average,Delivery
2020.1,Takeaway,Fridays-Sundays,day (8-18),1.43861111111111,Average,Delivery
2020.2,Takeaway,Fridays-Sundays,day (8-18),1.54083333333333,Average,Delivery
2020.1,Bolt Courier,Fridays-Sundays,day (8-18),1.6425,Average,Delivery
2020.2,Bolt Courier,Fridays-Sundays,day (8-18),1.88,Average,Delivery
2018.1,Wolt,Fridays-Sundays,day (8-18),1.72694444444444,Average,Delivery
2018.2,Wolt,Fridays-Sundays,day (8-18),1.91444444444444,Average,Delivery
2019.1,Wolt,Fridays-Sundays,day (8-18),1.74611111111111,Average,Delivery
2019.2,Wolt,Fridays-Sundays,day (8-18),2.01638888888889,Average,Delivery
2020.1,Wolt,Fridays-Sundays,day (8-18),1.76361111111111,Average,Delivery
2020.2,Wolt,Fridays-Sundays,day (8-18),2.03333333333333,Average,Delivery
2018.1,Uber,Fridays-Sundays,night (18-8),3.13972222222222,Average,Transportation
2018.2,Uber,Fridays-Sundays,night (18-8),3.25472222222222,Average,Transportation
2019.1,Uber,Fridays-Sundays,night (18-8),3.42,Average,Transportation
2019.2,Uber,Fridays-Sundays,night (18-8),3.57,Average,Transportation
2020.1,Uber,Fridays-Sundays,night (18-8),3.68416666666667,Average,Transportation
2020.2,Uber,Fridays-Sundays,night (18-8),3.88388888888889,Average,Transportation
2018.1,Bolt Driver,Fridays-Sundays,night (18-8),3.20388888888889,Average,Transportation
2018.2,Bolt Driver,Fridays-Sundays,night (18-8),3.28861111111111,Average,Transportation
2019.1,Bolt Driver,Fridays-Sundays,night (18-8),3.35638888888889,Average,Transportation
2019.2,Bolt Driver,Fridays-Sundays,night (18-8),3.49194444444444,Average,Transportation
2020.1,Bolt Driver,Fridays-Sundays,night (18-8),3.52722222222222,Average,Transportation
2020.2,Bolt Driver,Fridays-Sundays,night (18-8),3.66083333333333,Average,Transportation
2018.1,FREE NOW,Fridays-Sundays,night (18-8),2.25027777777778,Average,Transportation
2018.2,FREE NOW,Fridays-Sundays,night (18-8),2.33916666666667,Average,Transportation
2019.1,FREE NOW,Fridays-Sundays,night (18-8),2.38944444444444,Average,Transportation
2019.2,FREE NOW,Fridays-Sundays,night (18-8),2.49444444444444,Average,Transportation
2020.1,FREE NOW,Fridays-Sundays,night (18-8),2.61472222222222,Average,Transportation
2020.2,FREE NOW,Fridays-Sundays,night (18-8),2.88222222222222,Average,Transportation
2018.1,iTaxi,Fridays-Sundays,night (18-8),2.73777777777778,Average,Transportation
2018.2,iTaxi,Fridays-Sundays,night (18-8),2.9225,Average,Transportation
2019.1,iTaxi,Fridays-Sundays,night (18-8),3.25694444444444,Average,Transportation
2019.2,iTaxi,Fridays-Sundays,night (18-8),3.54388888888889,Average,Transportation
2020.1,iTaxi,Fridays-Sundays,night (18-8),3.81527777777778,Average,Transportation
2020.2,iTaxi,Fridays-Sundays,night (18-8),3.98305555555556,Average,Transportation
2019.2,Glover,Fridays-Sundays,night (18-8),3.76888888888889,Average,Delivery
2020.1,Glover,Fridays-Sundays,night (18-8),3.80305555555556,Average,Delivery
2020.2,Glover,Fridays-Sundays,night (18-8),3.8675,Average,Delivery
2018.1,Takeaway,Fridays-Sundays,night (18-8),3.92111111111111,Average,Delivery
2018.2,Takeaway,Fridays-Sundays,night (18-8),3.86833333333333,Average,Delivery
2019.1,Takeaway,Fridays-Sundays,night (18-8),3.98972222222222,Average,Delivery
2019.2,Takeaway,Fridays-Sundays,night (18-8),3.97,Average,Delivery
2020.1,Takeaway,Fridays-Sundays,night (18-8),4.09222222222222,Average,Delivery
2020.2,Takeaway,Fridays-Sundays,night (18-8),4.10583333333333,Average,Delivery
2020.1,Bolt Courier,Fridays-Sundays,night (18-8),4.26027777777778,Average,Delivery
2020.2,Bolt Courier,Fridays-Sundays,night (18-8),4.30944444444445,Average,Delivery
2018.1,Wolt,Fridays-Sundays,night (18-8),4.51055555555556,Average,Delivery
2018.2,Wolt,Fridays-Sundays,night (18-8),4.42861111111111,Average,Delivery
2019.1,Wolt,Fridays-Sundays,night (18-8),5.645,Average,Delivery
2019.2,Wolt,Fridays-Sundays,night (18-8),4.39638888888889,Average,Delivery
2020.1,Wolt,Fridays-Sundays,night (18-8),4.745,Average,Delivery
2020.2,Wolt,Fridays-Sundays,night (18-8),3.74833333333333,Average,Delivery
2018.1,Uber,Mondays-Thursdays,day (8-18),2.245,Std.Dev.,Transportation
2018.2,Uber,Mondays-Thursdays,day (8-18),2.43166666666667,Std.Dev.,Transportation
2019.1,Uber,Mondays-Thursdays,day (8-18),2.48333333333333,Std.Dev.,Transportation
2019.2,Uber,Mondays-Thursdays,day (8-18),2.43833333333333,Std.Dev.,Transportation
2020.1,Uber,Mondays-Thursdays,day (8-18),2.43583333333333,Std.Dev.,Transportation
2020.2,Uber,Mondays-Thursdays,day (8-18),2.57305555555556,Std.Dev.,Transportation
2018.1,Bolt Driver,Mondays-Thursdays,day (8-18),2.42666666666667,Std.Dev.,Transportation
2018.2,Bolt Driver,Mondays-Thursdays,day (8-18),2.50944444444444,Std.Dev.,Transportation
2019.1,Bolt Driver,Mondays-Thursdays,day (8-18),2.65083333333333,Std.Dev.,Transportation
2019.2,Bolt Driver,Mondays-Thursdays,day (8-18),2.705,Std.Dev.,Transportation
2020.1,Bolt Driver,Mondays-Thursdays,day (8-18),2.75694444444444,Std.Dev.,Transportation
2020.2,Bolt Driver,Mondays-Thursdays,day (8-18),2.70555555555556,Std.Dev.,Transportation
2018.1,FREE NOW,Mondays-Thursdays,day (8-18),2.11166666666667,Std.Dev.,Transportation
2018.2,FREE NOW,Mondays-Thursdays,day (8-18),2.25833333333333,Std.Dev.,Transportation
2019.1,FREE NOW,Mondays-Thursdays,day (8-18),2.23972222222222,Std.Dev.,Transportation
2019.2,FREE NOW,Mondays-Thursdays,day (8-18),2.19083333333333,Std.Dev.,Transportation
2020.1,FREE NOW,Mondays-Thursdays,day (8-18),2.58416666666667,Std.Dev.,Transportation
2020.2,FREE NOW,Mondays-Thursdays,day (8-18),2.46972222222222,Std.Dev.,Transportation
2018.1,iTaxi,Mondays-Thursdays,day (8-18),2.63611111111111,Std.Dev.,Transportation
2018.2,iTaxi,Mondays-Thursdays,day (8-18),2.81166666666667,Std.Dev.,Transportation
2019.1,iTaxi,Mondays-Thursdays,day (8-18),2.84944444444444,Std.Dev.,Transportation
2019.2,iTaxi,Mondays-Thursdays,day (8-18),2.94861111111111,Std.Dev.,Transportation
2020.1,iTaxi,Mondays-Thursdays,day (8-18),3.07611111111111,Std.Dev.,Transportation
2020.2,iTaxi,Mondays-Thursdays,day (8-18),3.2,Std.Dev.,Transportation
2019.2,Glover,Mondays-Thursdays,day (8-18),2.6125,Std.Dev.,Delivery
2020.1,Glover,Mondays-Thursdays,day (8-18),2.95472222222222,Std.Dev.,Delivery
2020.2,Glover,Mondays-Thursdays,day (8-18),2.99055555555556,Std.Dev.,Delivery
2018.1,Takeaway,Mondays-Thursdays,day (8-18),2.32638888888889,Std.Dev.,Delivery
2018.2,Takeaway,Mondays-Thursdays,day (8-18),2.46444444444444,Std.Dev.,Delivery
2019.1,Takeaway,Mondays-Thursdays,day (8-18),2.41916666666667,Std.Dev.,Delivery
2019.2,Takeaway,Mondays-Thursdays,day (8-18),2.42944444444444,Std.Dev.,Delivery
2020.1,Takeaway,Mondays-Thursdays,day (8-18),2.53805555555556,Std.Dev.,Delivery
2020.2,Takeaway,Mondays-Thursdays,day (8-18),2.50388888888889,Std.Dev.,Delivery
2020.1,Bolt Courier,Mondays-Thursdays,day (8-18),2.59666666666667,Std.Dev.,Delivery
2020.2,Bolt Courier,Mondays-Thursdays,day (8-18),2.68083333333333,Std.Dev.,Delivery
2018.1,Wolt,Mondays-Thursdays,day (8-18),2.47277777777778,Std.Dev.,Delivery
