period,apps,day,hour,activity_time,statistic,category
2018.2,iTaxi,Fridays-Sundays,night (18-8),1.36222222222222,Std.Dev.,Transportation
2019.1,iTaxi,Fridays-Sundays,night (18-8),1.64722222222222,Std.Dev.,Transportation
2019.2,iTaxi,Fridays-Sundays,night (18-8),1.83722222222222,Std.Dev.,Transportation
2020.1,iTaxi,Fridays-Sundays,night (18-8),1.90527777777778,Std.Dev.,Transportation
2020.2,iTaxi,Fridays-Sundays,night (18-8),2.00166666666667,Std.Dev.,Transportation
2019.2,Glover,Fridays-Sundays,night (18-8),2.07527777777778,Std.Dev.,Delivery
2020.1,Glover,Fridays-Sundays,night (18-8),1.91111111111111,Std.Dev.,Delivery
2020.2,Glover,Fridays-Sundays,night (18-8),1.91055555555556,Std.Dev.,Delivery
2018.1,Takeaway,Fridays-Sundays,night (18-8),2.12722222222222,Std.Dev.,Delivery
2018.2,Takeaway,Fridays-Sundays,night (18-8),1.92694444444444,Std.Dev.,Delivery
2019.1,Takeaway,Fridays-Sundays,night (18-8),2.13166666666667,Std.Dev.,Delivery
2019.2,Takeaway,Fridays-Sundays,night (18-8),2.11527777777778,Std.Dev.,Delivery
2020.1,Takeaway,Fridays-Sundays,night (18-8),2.08333333333333,Std.Dev.,Delivery
2020.2,Takeaway,Fridays-Sundays,night (18-8),2.24472222222222,Std.Dev.,Delivery
2020.1,Bolt Courier,Fridays-Sundays,night (18-8),2.17666666666667,Std.Dev.,Delivery
2020.2,Bolt Courier,Fridays-Sundays,night (18-8),2.14194444444444,Std.Dev.,Delivery
2018.1,Wolt,Fridays-Sundays,night (18-8),2.30666666666667,Std.Dev.,Delivery
2018.2,Wolt,Fridays-Sundays,night (18-8),2.33222222222222,Std.Dev.,Delivery
2019.1,Wolt,Fridays-Sundays,night (18-8),3.00694444444444,Std.Dev.,Delivery
2019.2,Wolt,Fridays-Sundays,night (18-8),2.22416666666667,Std.Dev.,Delivery
2020.1,Wolt,Fridays-Sundays,night (18-8),2.47277777777778,Std.Dev.,Delivery
2020.2,Wolt,Fridays-Sundays,night (18-8),2.05388888888889,Std.Dev.,Delivery
